game_id,game_date,away_team,home_team,predicted_at,model_version,p_final,p_elo,p_glm,p_prior,favored_team,away_score,home_score,winner,graded,correct
401816943,2026-09-15,Athletics,Tampa Bay Rays,2026-09-15T20:24:06Z,3,0.693,0.6282,0.5944,0.7655,Tampa Bay Rays,,,,0,
401816944,2026-09-15,Baltimore Orioles,New York Mets,2026-09-15T20:24:06Z,3,0.5486,0.5633,0.518,0.5169,New York Mets,,,,0,
401816945,2026-09-15,Chicago White Sox,Cleveland Guardians,2026-09-15T20:24:06Z,3,0.5351,0.5315,0.4827,0.5555,Cleveland Guardians,,,,0,
401816946,2026-09-15,Detroit Tigers,Toronto Blue Jays,2026-09-15T20:24:06Z,3,0.5722,0.5626,0.5272,0.5861,Toronto Blue Jays,,,,0,
401816947,2026-09-15,Los Angeles Dodgers,Cincinnati Reds,2026-09-15T20:24:06Z,3,0.4523,0.5048,0.6212,0.3854,Los Angeles Dodgers,,,,0,
401816948,2026-09-15,Milwaukee Brewers,Pittsburgh Pirates,2026-09-15T20:24:06Z,3,0.4548,0.5032,0.5409,0.3961,Milwaukee Brewers,,,,0,
401816949,2026-09-15,Philadelphia Phillies,Washington Nationals,2026-09-15T20:24:06Z,3,0.4386,0.4881,0.4917,0.3863,Philadelphia Phillies,,,,0,
401816950,2026-09-15,Atlanta Braves,Chicago Cubs,2026-09-15T20:24:06Z,3,0.5007,0.5307,0.5371,0.4593,Chicago Cubs,,,,0,
401816951,2026-09-15,Boston Red Sox,Texas Rangers,2026-09-15T20:24:06Z,3,0.4649,0.4826,0.4198,0.4733,Boston Red Sox,,,,0,
401816952,2026-09-15,Kansas City Royals,Houston Astros,2026-09-15T20:24:06Z,3,0.5632,0.5445,0.5744,0.6039,Houston Astros,,,,0,
401816953,2026-09-15,New York Yankees,Minnesota Twins,2026-09-15T20:24:06Z,3,0.4294,0.4796,0.5286,0.3804,New York Yankees,,,,0,
401816954,2026-09-15,San Francisco Giants,St. Louis Cardinals,2026-09-15T20:24:06Z,3,0.5971,0.5732,0.564,0.6312,St. Louis Cardinals,,,,0,
401816955,2026-09-15,San Diego Padres,Colorado Rockies,2026-09-15T20:24:06Z,3,0.3512,0.4266,0.4598,0.2869,San Diego Padres,,,,0,
401816956,2026-09-15,Miami Marlins,Arizona Diamondbacks,2026-09-15T20:24:06Z,3,0.6034,0.5983,0.6049,0.5892,Arizona Diamondbacks,,,,0,
401816957,2026-09-15,Seattle Mariners,Los Angeles Angels,2026-09-15T20:24:06Z,3,0.4837,0.524,0.569,0.4274,Seattle Mariners,,,,0,
401816958,2026-09-16,Athletics,Tampa Bay Rays,2026-09-15T20:24:06Z,3,0.693,0.6282,0.5944,0.7655,Tampa Bay Rays,,,,0,
401816959,2026-09-16,Baltimore Orioles,New York Mets,2026-09-15T20:24:06Z,3,0.5486,0.5633,0.518,0.5169,New York Mets,,,,0,
401816960,2026-09-16,Chicago White Sox,Cleveland Guardians,2026-09-15T20:24:06Z,3,0.5351,0.5315,0.4827,0.5555,Cleveland Guardians,,,,0,
401816961,2026-09-16,Detroit Tigers,Toronto Blue Jays,2026-09-15T20:24:06Z,3,0.5722,0.5626,0.5272,0.5861,Toronto Blue Jays,,,,0,
401816962,2026-09-16,Los Angeles Dodgers,Cincinnati Reds,2026-09-15T20:24:06Z,3,0.4523,0.5048,0.6212,0.3854,Los Angeles Dodgers,,,,0,
