game_id,game_date,away_team,home_team,away_score,home_score,winner,first_seen
401873271,2026-08-06,Carolina Panthers,Arizona Cardinals,33,30,Carolina Panthers,2026-09-15
401873272,2026-08-13,Detroit Lions,Cincinnati Bengals,14,16,Cincinnati Bengals,2026-09-15
401873273,2026-08-13,Indianapolis Colts,New England Patriots,13,13,New England Patriots,2026-09-15
401873274,2026-08-13,Los Angeles Chargers,Houston Texans,27,7,Los Angeles Chargers,2026-09-15
401873275,2026-08-13,Green Bay Packers,Pittsburgh Steelers,9,28,Pittsburgh Steelers,2026-09-15
401873640,2026-08-13,Arizona Cardinals,Las Vegas Raiders,27,14,Arizona Cardinals,2026-09-15
401874392,2026-08-13,Tennessee Titans,San Francisco 49ers,19,13,Tennessee Titans,2026-09-15
401873276,2026-08-14,Tampa Bay Buccaneers,New York Jets,24,16,Tampa Bay Buccaneers,2026-09-15
401873277,2026-08-14,Miami Dolphins,Washington Commanders,7,20,Washington Commanders,2026-09-15
401873278,2026-08-14,Denver Broncos,Atlanta Falcons,27,7,Denver Broncos,2026-09-15
401873279,2026-08-15,Dallas Cowboys,Seattle Seahawks,17,7,Dallas Cowboys,2026-09-15
401873280,2026-08-15,Minnesota Vikings,New York Giants,13,10,Minnesota Vikings,2026-09-15
401873281,2026-08-15,Jacksonville Jaguars,New Orleans Saints,24,20,Jacksonville Jaguars,2026-09-15
401873282,2026-08-15,Carolina Panthers,Buffalo Bills,14,29,Buffalo Bills,2026-09-15
401873283,2026-08-15,Los Angeles Rams,Kansas City Chiefs,20,12,Los Angeles Rams,2026-09-15
401873284,2026-08-15,Philadelphia Eagles,Baltimore Ravens,7,24,Baltimore Ravens,2026-09-15
401874393,2026-08-15,Cleveland Browns,Chicago Bears,10,34,Chicago Bears,2026-09-15
401873285,2026-08-20,San Francisco 49ers,Los Angeles Chargers,41,17,San Francisco 49ers,2026-09-15
401873286,2026-08-20,Las Vegas Raiders,Houston Texans,22,20,Las Vegas Raiders,2026-09-15
401873287,2026-08-21,Carolina Panthers,Jacksonville Jaguars,34,17,Carolina Panthers,2026-09-15
401873288,2026-08-21,New York Jets,Pittsburgh Steelers,17,0,New York Jets,2026-09-15
401873613,2026-08-21,Green Bay Packers,Denver Broncos,33,13,Green Bay Packers,2026-09-15
401873289,2026-08-22,Chicago Bears,Cincinnati Bengals,9,27,Cincinnati Bengals,2026-09-15
401873290,2026-08-22,New Orleans Saints,Los Angeles Rams,0,34,Los Angeles Rams,2026-09-15
401873291,2026-08-22,Baltimore Ravens,Minnesota Vikings,13,3,Baltimore Ravens,2026-09-15
401873292,2026-08-22,New York Giants,Miami Dolphins,26,3,New York Giants,2026-09-15
401873293,2026-08-22,Philadelphia Eagles,New England Patriots,21,24,New England Patriots,2026-09-15
401873294,2026-08-22,Buffalo Bills,Cleveland Browns,31,7,Buffalo Bills,2026-09-15
401873295,2026-08-22,Atlanta Falcons,Indianapolis Colts,34,6,Atlanta Falcons,2026-09-15
401873296,2026-08-22,Kansas City Chiefs,Tampa Bay Buccaneers,15,16,Tampa Bay Buccaneers,2026-09-15
401873601,2026-08-22,Washington Commanders,Detroit Lions,13,17,Detroit Lions,2026-09-15
401874101,2026-08-22,Dallas Cowboys,Arizona Cardinals,34,13,Dallas Cowboys,2026-09-15
401873297,2026-08-23,Seattle Seahawks,Tennessee Titans,16,19,Tennessee Titans,2026-09-15
401873298,2026-08-27,Pittsburgh Steelers,Buffalo Bills,27,28,Buffalo Bills,2026-09-15
401873299,2026-08-27,New England Patriots,Cleveland Browns,13,37,Cleveland Browns,2026-09-15
401873300,2026-08-27,Los Angeles Rams,Los Angeles Chargers,20,18,Los Angeles Rams,2026-09-15
401873641,2026-08-27,San Francisco 49ers,Las Vegas Raiders,18,12,San Francisco 49ers,2026-09-15
401873301,2026-08-28,Cincinnati Bengals,Philadelphia Eagles,30,13,Cincinnati Bengals,2026-09-15
