game_id,game_date,away_team,home_team,predicted_at,model_version,p_final,p_elo,p_glm,p_prior,favored_team,away_score,home_score,winner,graded,correct
401872932,2026-09-17,Detroit Lions,Buffalo Bills,2026-09-15T20:24:06Z,3,0.5064,0.6146,,0.4475,Buffalo Bills,,,,0,
401872933,2026-09-20,Carolina Panthers,Atlanta Falcons,2026-09-15T20:24:06Z,3,0.4709,0.5475,,0.4301,Carolina Panthers,,,,0,
401872934,2026-09-20,Cincinnati Bengals,Houston Texans,2026-09-15T20:24:06Z,3,0.2489,0.2795,,0.2334,Cincinnati Bengals,,,,0,
401872935,2026-09-20,Cleveland Browns,Tampa Bay Buccaneers,2026-09-15T20:24:06Z,3,0.4827,0.5897,,0.4254,Cleveland Browns,,,,0,
401872936,2026-09-20,Green Bay Packers,New York Jets,2026-09-15T20:24:06Z,3,0.6401,0.5864,,0.6676,New York Jets,,,,0,
401872937,2026-09-20,Minnesota Vikings,Chicago Bears,2026-09-15T20:24:06Z,3,0.5272,0.6719,,0.4459,Chicago Bears,,,,0,
401872938,2026-09-20,New Orleans Saints,Baltimore Ravens,2026-09-15T20:24:06Z,3,0.7093,0.7548,,0.683,Baltimore Ravens,,,,0,
401872939,2026-09-20,Philadelphia Eagles,Tennessee Titans,2026-09-15T20:24:06Z,3,0.3432,0.577,,0.238,Philadelphia Eagles,,,,0,
401872940,2026-09-20,Jacksonville Jaguars,Denver Broncos,2026-09-15T20:24:06Z,3,0.326,0.4329,,0.2746,Jacksonville Jaguars,,,,0,
401872941,2026-09-20,Las Vegas Raiders,Los Angeles Chargers,2026-09-15T20:24:06Z,3,0.3218,0.4759,,0.251,Las Vegas Raiders,,,,0,
401872942,2026-09-20,Miami Dolphins,San Francisco 49ers,2026-09-15T20:24:06Z,3,0.7248,0.8208,,0.6619,San Francisco 49ers,,,,0,
401872943,2026-09-20,Seattle Seahawks,Arizona Cardinals,2026-09-15T20:24:06Z,3,0.4909,0.5861,,0.4396,Seattle Seahawks,,,,0,
401872944,2026-09-20,Washington Commanders,Dallas Cowboys,2026-09-15T20:24:06Z,3,0.5253,0.6374,,0.4634,Dallas Cowboys,,,,0,
401872945,2026-09-20,Indianapolis Colts,Kansas City Chiefs,2026-09-15T20:24:06Z,3,0.6698,0.697,,0.6547,Kansas City Chiefs,,,,0,
401872946,2026-09-20,Pittsburgh Steelers,New England Patriots,2026-09-15T20:24:06Z,3,0.298,0.4443,,0.2322,Pittsburgh Steelers,,,,0,
401872947,2026-09-21,New York Giants,Los Angeles Rams,2026-09-15T20:24:06Z,3,0.3157,0.4501,,0.2534,New York Giants,,,,0,
401872948,2026-09-24,Atlanta Falcons,Green Bay Packers,2026-09-15T20:24:06Z,3,0.4888,0.5242,,0.4698,Atlanta Falcons,,,,0,
401872949,2026-09-27,Carolina Panthers,Cleveland Browns,2026-09-15T20:24:06Z,3,0.4591,0.4629,,0.457,Carolina Panthers,,,,0,
401872950,2026-09-27,Cincinnati Bengals,Pittsburgh Steelers,2026-09-15T20:24:06Z,3,0.4367,0.4082,,0.4522,Cincinnati Bengals,,,,0,
401872951,2026-09-27,Houston Texans,Indianapolis Colts,2026-09-15T20:24:06Z,3,0.4892,0.5167,,0.4745,Houston Texans,,,,0,
401872952,2026-09-27,Kansas City Chiefs,Miami Dolphins,2026-09-15T20:24:06Z,3,0.2909,0.3493,,0.262,Kansas City Chiefs,,,,0,
401872953,2026-09-27,Los Angeles Chargers,Buffalo Bills,2026-09-15T20:24:06Z,3,0.7105,0.7535,,0.6858,Buffalo Bills,,,,0,
401872954,2026-09-27,New York Jets,Detroit Lions,2026-09-15T20:24:06Z,3,0.509,0.5755,,0.473,Detroit Lions,,,,0,
401872955,2026-09-27,Seattle Seahawks,Washington Commanders,2026-09-15T20:24:06Z,3,0.3172,0.5232,,0.2266,Seattle Seahawks,,,,0,
401872956,2026-09-27,Tennessee Titans,New York Giants,2026-09-15T20:24:06Z,3,0.6948,0.7209,,0.6803,New York Giants,,,,0,
401872957,2026-09-27,New England Patriots,Jacksonville Jaguars,2026-09-15T20:24:06Z,3,0.6802,0.6955,,0.6718,Jacksonville Jaguars,,,,0,
401872958,2026-09-27,Arizona Cardinals,San Francisco 49ers,2026-09-15T20:24:06Z,3,0.5293,0.6851,,0.4412,San Francisco 49ers,,,,0,
401872959,2026-09-27,Minnesota Vikings,Tampa Bay Buccaneers,2026-09-15T20:24:06Z,3,0.3316,0.5168,,0.2474,Minnesota Vikings,,,,0,
401872960,2026-09-27,Baltimore Ravens,Dallas Cowboys,2026-09-15T20:24:06Z,3,0.2966,0.393,,0.251,Baltimore Ravens,,,,0,
401872961,2026-09-27,Las Vegas Raiders,New Orleans Saints,2026-09-15T20:24:06Z,3,0.3256,0.5209,,0.238,Las Vegas Raiders,,,,0,
401872962,2026-09-27,Los Angeles Rams,Denver Broncos,2026-09-15T20:24:06Z,3,0.4597,0.4677,,0.4554,Los Angeles Rams,,,,0,
401872963,2026-09-28,Philadelphia Eagles,Chicago Bears,2026-09-15T20:24:06Z,3,0.5411,0.742,,0.4223,Chicago Bears,,,,0,
401872964,2026-10-01,Pittsburgh Steelers,Cleveland Browns,2026-09-15T20:24:06Z,3,0.3169,0.4449,,0.2571,Pittsburgh Steelers,,,,0,
401872965,2026-10-04,Indianapolis Colts,Washington Commanders,2026-09-15T20:24:06Z,3,0.4998,0.6305,,0.4286,Indianapolis Colts,,,,0,
401872966,2026-10-04,Arizona Cardinals,New York Giants,2026-09-15T20:24:06Z,3,0.5362,0.6711,,0.4602,New York Giants,,,,0,
401872967,2026-10-04,Dallas Cowboys,Houston Texans,2026-09-15T20:24:06Z,3,0.4235,0.3769,,0.4491,Dallas Cowboys,,,,0,
401872968,2026-10-04,Green Bay Packers,Tampa Bay Buccaneers,2026-09-15T20:24:06Z,3,0.4665,0.5231,,0.4364,Green Bay Packers,,,,0,
401872969,2026-10-04,Jacksonville Jaguars,Cincinnati Bengals,2026-09-15T20:24:06Z,3,0.5263,0.6064,,0.4825,Cincinnati Bengals,,,,0,
401872970,2026-10-04,Los Angeles Rams,Philadelphia Eagles,2026-09-15T20:24:06Z,3,0.5864,0.4023,,0.6789,Philadelphia Eagles,,,,0,
401872971,2026-10-04,New England Patriots,Buffalo Bills,2026-09-15T20:24:06Z,3,0.7142,0.7429,,0.6981,Buffalo Bills,,,,0,
401872972,2026-10-04,New York Jets,Chicago Bears,2026-09-15T20:24:06Z,3,0.5092,0.6361,,0.4396,Chicago Bears,,,,0,
401872973,2026-10-04,Tennessee Titans,Baltimore Ravens,2026-09-15T20:24:06Z,3,0.7005,0.7587,,0.6662,Baltimore Ravens,,,,0,
401872974,2026-10-04,Miami Dolphins,Minnesota Vikings,2026-09-15T20:24:06Z,3,0.6799,0.7045,,0.6662,Minnesota Vikings,,,,0,
401872975,2026-10-04,Denver Broncos,San Francisco 49ers,2026-09-15T20:24:06Z,3,0.6725,0.7092,,0.6518,San Francisco 49ers,,,,0,
401872976,2026-10-04,Kansas City Chiefs,Las Vegas Raiders,2026-09-15T20:24:06Z,3,0.4763,0.4974,,0.465,Kansas City Chiefs,,,,0,
401872977,2026-10-04,Los Angeles Chargers,Seattle Seahawks,2026-09-15T20:24:06Z,3,0.6567,0.5935,,0.6886,Seattle Seahawks,,,,0,
401872978,2026-10-04,Detroit Lions,Carolina Panthers,2026-09-15T20:24:06Z,3,0.3179,0.472,,0.2474,Detroit Lions,,,,0,
401872979,2026-10-05,Atlanta Falcons,New Orleans Saints,2026-09-15T20:24:06Z,3,0.4592,0.4871,,0.4443,Atlanta Falcons,,,,0,
401872980,2026-10-08,Tampa Bay Buccaneers,Dallas Cowboys,2026-09-15T20:24:06Z,3,0.5111,0.6104,,0.457,Dallas Cowboys,,,,0,
401872981,2026-10-11,Philadelphia Eagles,Jacksonville Jaguars,2026-09-15T20:24:06Z,3,0.5226,0.7043,,0.4192,Jacksonville Jaguars,,,,0,
401872982,2026-10-11,Cincinnati Bengals,Miami Dolphins,2026-09-15T20:24:06Z,3,0.2416,0.2375,,0.2438,Cincinnati Bengals,,,,0,
401872983,2026-10-11,Cleveland Browns,New York Jets,2026-09-15T20:24:06Z,3,0.655,0.6501,,0.6576,New York Jets,,,,0,
401872984,2026-10-11,Houston Texans,Tennessee Titans,2026-09-15T20:24:06Z,3,0.5179,0.6118,,0.4666,Tennessee Titans,,,,0,
