"game_date","away_team","home_team","status","winner","favored_team","away_win_probability","home_win_probability","game_id","away_score","home_score","away_record","home_record","away_win_pct","home_win_pct","away_pt_diff_pg","home_pt_diff_pg","away_ypg_off","home_ypg_off","away_ypg_def","home_ypg_def","away_to_margin","home_to_margin","game_time"
"2025-12-28","Arizona Cardinals","Cincinnati Bengals","Final","Cincinnati Bengals","Cincinnati Bengals",0.288,0.712,"401772954","14","37","3-13","6-10",0.176,0.353,-7.8,-4.6,340,340,340,340,0,0,"06:00 PM ET"
"2025-12-28","Pittsburgh Steelers","Cleveland Browns","Final","Cleveland Browns","Pittsburgh Steelers",0.6046,0.3954,"401772807","6","13","9-7","4-12",0.588,0.294,0.6,-5.9,340,340,340,340,0,0,"06:00 PM ET"
"2025-12-28","New Orleans Saints","Tennessee Titans","Final","New Orleans Saints","New Orleans Saints",0.6177,0.3823,"401772809","34","26","6-10","3-13",0.353,0.176,-4.5,-11.4,340,340,340,340,0,0,"06:00 PM ET"
"2025-12-28","Jacksonville Jaguars","Indianapolis Colts","Final","Jacksonville Jaguars","Jacksonville Jaguars",0.5511,0.4489,"401772915","23","17","12-4","8-8",0.765,0.471,8.1,3.2,340,340,340,340,0,0,"06:00 PM ET"
"2025-12-28","Tampa Bay Buccaneers","Miami Dolphins","Final","Miami Dolphins","Miami Dolphins",0.476,0.524,"401772916","17","20","7-9","7-9",0.471,0.412,-1.8,-4.5,340,340,340,340,0,0,"06:00 PM ET"
"2025-12-28","New England Patriots","New York Jets","Final","New England Patriots","New England Patriots",0.9267,0.0733,"401772808","42","10","13-3","3-13",0.824,0.176,10,-11.9,340,340,340,340,0,0,"06:00 PM ET"
"2025-12-28","Seattle Seahawks","Carolina Panthers","Final","Seattle Seahawks","Seattle Seahawks",0.8364,0.1636,"401772952","27","10","13-3","8-8",0.824,0.471,11.2,-4.1,340,340,340,340,0,0,"06:00 PM ET"
"2025-12-28","New York Giants","Las Vegas Raiders","Final","New York Giants","New York Giants",0.6464,0.3536,"401772950","34","10","3-13","2-14",0.235,0.176,-3.4,-11.2,340,340,340,340,0,0,"09:05 PM ET"
"2025-12-28","Philadelphia Eagles","Buffalo Bills","Final","Philadelphia Eagles","Buffalo Bills",0.2768,0.7232,"401772917","13","12","11-5","11-5",0.647,0.706,3.2,6.8,340,340,340,340,0,0,"09:25 PM ET"
"2025-12-28","Chicago Bears","San Francisco 49ers","Final","San Francisco 49ers","San Francisco 49ers",0.311,0.689,"401772935","38","42","11-5","12-4",0.647,0.706,1.5,3.9,340,340,340,340,0,0,"01:20 AM ET"
"2025-12-29","Los Angeles Rams","Atlanta Falcons","Final","Atlanta Falcons","Los Angeles Rams",0.7863,0.2137,"401772825","24","27","11-5","7-9",0.706,0.471,10.1,-2.8,340,340,340,340,0,0,"01:15 AM ET"
"2026-01-03","Carolina Panthers","Tampa Bay Buccaneers","Final","Tampa Bay Buccaneers","Tampa Bay Buccaneers",0.3139,0.6861,"401772969","14","16","8-9","8-9",0.471,0.471,-4.1,-1.8,340,340,340,340,0,0,"09:30 PM ET"
"2026-01-03","Seattle Seahawks","San Francisco 49ers","Final","Seattle Seahawks","Seattle Seahawks",0.6306,0.3694,"401772961","13","3","14-3","12-5",0.824,0.706,11.2,3.9,340,340,340,340,0,0,"01:00 AM ET"
"2026-01-04","New Orleans Saints","Atlanta Falcons","Final","Atlanta Falcons","Atlanta Falcons",0.3319,0.6681,"401772966","17","19","6-11","8-9",0.353,0.471,-4.5,-2.8,340,340,340,340,0,0,"06:00 PM ET"
"2026-01-04","Cleveland Browns","Cincinnati Bengals","Final","Cleveland Browns","Cincinnati Bengals",0.3442,0.6558,"401772964","20","18","5-12","6-11",0.294,0.353,-5.9,-4.6,340,340,340,340,0,0,"06:00 PM ET"
"2026-01-04","Green Bay Packers","Minnesota Vikings","Final","Minnesota Vikings","Minnesota Vikings",0.4251,0.5749,"401772968","3","16","9-7-1","9-8",0.559,0.529,1.8,0.6,340,340,340,340,0,0,"06:00 PM ET"
"2026-01-04","Dallas Cowboys","New York Giants","Final","New York Giants","New York Giants",0.4183,0.5817,"401772963","17","34","7-9-1","4-13",0.441,0.235,-2.4,-3.4,340,340,340,340,0,0,"06:00 PM ET"
"2026-01-04","Tennessee Titans","Jacksonville Jaguars","Final","Jacksonville Jaguars","Jacksonville Jaguars",0.0415,0.9585,"401772970","7","41","3-14","13-4",0.176,0.765,-11.4,8.1,340,340,340,340,0,0,"06:00 PM ET"
"2026-01-04","Indianapolis Colts","Houston Texans","Final","Houston Texans","Houston Texans",0.288,0.712,"401772962","30","38","8-9","12-5",0.471,0.706,3.2,6.4,340,340,340,340,0,0,"06:00 PM ET"
"2026-01-04","New York Jets","Buffalo Bills","Final","Buffalo Bills","Buffalo Bills",0.046,0.954,"401772967","8","35","3-14","12-5",0.176,0.706,-11.9,6.8,340,340,340,340,0,0,"09:25 PM ET"
"2026-01-04","Detroit Lions","Chicago Bears","Final","Detroit Lions","Chicago Bears",0.4692,0.5308,"401772965","19","16","9-8","11-6",0.529,0.647,4,1.5,340,340,340,340,0,0,"09:25 PM ET"
"2026-01-04","Los Angeles Chargers","Denver Broncos","Final","Denver Broncos","Denver Broncos",0.2741,0.7259,"401772956","3","19","11-6","14-3",0.647,0.824,1.6,5.3,340,340,340,340,0,0,"09:25 PM ET"
"2026-01-04","Kansas City Chiefs","Las Vegas Raiders","Final","Las Vegas Raiders","Kansas City Chiefs",0.7931,0.2069,"401772957","12","14","6-11","3-14",0.353,0.176,2,-11.2,340,340,340,340,0,0,"09:25 PM ET"
"2026-01-04","Arizona Cardinals","Los Angeles Rams","Final","Los Angeles Rams","Los Angeles Rams",0.0511,0.9489,"401772955","20","37","3-14","12-5",0.176,0.706,-7.8,10.1,340,340,340,340,0,0,"09:25 PM ET"
"2026-01-04","Miami Dolphins","New England Patriots","Final","New England Patriots","New England Patriots",0.0791,0.9209,"401772958","10","38","7-10","14-3",0.412,0.824,-4.5,10,340,340,340,340,0,0,"09:25 PM ET"
"2026-01-04","Washington Commanders","Philadelphia Eagles","Final","Washington Commanders","Philadelphia Eagles",0.158,0.842,"401772959","24","17","5-12","11-6",0.294,0.647,-5.6,3.2,340,340,340,340,0,0,"09:25 PM ET"
