"game_date","away_team","home_team","status","winner","favored_team","away_win_probability","home_win_probability","game_id","away_score","home_score","away_record","home_record","away_pts_pct","home_pts_pct","away_gf_pg","home_gf_pg","away_ga_pg","home_ga_pg","away_pp_pct","home_pp_pct","away_pk_pct","home_pk_pct","away_save_pct","home_save_pct","game_time"
"2026-05-02","Philadelphia Flyers","Carolina Hurricanes","Final","Carolina Hurricanes","Carolina Hurricanes",0.1587,0.8413,"401871166","0","3","43-27-12","53-22-7",59.8,68.9,3.05,3.61,2.96,2.93,20,20,80,80,0.91,0.91,"12:00 AM ET"
"2026-05-03","Montreal Canadiens","Tampa Bay Lightning","Final","Montreal Canadiens","Tampa Bay Lightning",0.2449,0.7551,"401869779","2","1","48-24-10","50-26-6",64.6,64.6,3.45,3.54,3.12,2.82,20,20,80,80,0.91,0.91,"10:00 PM ET"
"2026-05-03","Minnesota Wild","Colorado Avalanche","Final","Colorado Avalanche","Colorado Avalanche",0.3899,0.6101,"401871302","6","9","46-24-12","55-16-11",63.4,73.8,3.32,3.68,2.93,2.48,20,20,80,80,0.91,0.91,"01:00 AM ET"
"2026-05-04","Philadelphia Flyers","Carolina Hurricanes","Final","Carolina Hurricanes","Carolina Hurricanes",0.1587,0.8413,"401871411","2","3","43-27-12","53-22-7",59.8,68.9,3.05,3.61,2.96,2.93,20,20,80,80,0.91,0.91,"11:00 PM ET"
"2026-05-04","Anaheim Ducks","Vegas Golden Knights","Final","Vegas Golden Knights","Anaheim Ducks",0.6603,0.3397,"401871423","1","3","43-33-6","39-26-17",56.1,57.9,3.33,3.23,3.51,3.05,20,20,80,80,0.91,0.91,"01:50 AM ET"
"2026-05-05","Minnesota Wild","Colorado Avalanche","Final","Colorado Avalanche","Colorado Avalanche",0.3899,0.6101,"401871417","2","5","46-24-12","55-16-11",63.4,73.8,3.32,3.68,2.93,2.48,20,20,80,80,0.91,0.91,"12:00 AM ET"
"2026-05-06","Montreal Canadiens","Buffalo Sabres","Final","Buffalo Sabres","Buffalo Sabres",0.4821,0.5179,"401871404","2","4","48-24-10","50-23-9",64.6,66.5,3.45,3.51,3.12,2.94,20,20,80,80,0.91,0.91,"11:00 PM ET"
"2026-05-06","Anaheim Ducks","Vegas Golden Knights","Final","Anaheim Ducks","Anaheim Ducks",0.6603,0.3397,"401871424","3","1","43-33-6","39-26-17",56.1,57.9,3.33,3.23,3.51,3.05,20,20,80,80,0.91,0.91,"01:30 AM ET"
"2026-05-07","Carolina Hurricanes","Philadelphia Flyers","Final","Carolina Hurricanes","Carolina Hurricanes",0.8847,0.1153,"401871412","4","1","53-22-7","43-27-12",68.9,59.8,3.61,3.05,2.93,2.96,20,20,80,80,0.91,0.91,"12:00 AM ET"
"2026-05-08","Montreal Canadiens","Buffalo Sabres","Final","Montreal Canadiens","Buffalo Sabres",0.4821,0.5179,"401871405","5","1","48-24-10","50-23-9",64.6,66.5,3.45,3.51,3.12,2.94,20,20,80,80,0.91,0.91,"11:00 PM ET"
